x,y
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
510, 212
509, 212
509, 212
509, 212
509, 212
509, 212
510, 212
510, 212
509, 212
510, 212
509, 212
509, 212
510, 212
509, 211
509, 212
509, 211
510, 212
509, 212
509, 212
510, 212
509, 212
510, 211
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
510, 212
510, 211
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
509, 212
510, 212
509, 211
509, 212
509, 212
509, 211
509, 211
509, 211
509, 211
509, 211
509, 212
510, 211
509, 211
509, 211
510, 211
510, 211
509, 211
509, 211
509, 211
509, 211
509, 211
509, 211
510, 211
509, 211
510, 211
509, 211
